優先度ランク,No.,記事テーマ（仮タイトル）,メインKW,サブKW群,ペルソナ,検索意図,CVまでの距離,推定競合度,記事タイプ,備考・訴求ポイント
S,1,パーソナルジム 仕事帰りの通い方完全ガイド,パーソナルジム 仕事帰り,仕事帰り ジム 服装 / 仕事帰り ジム 荷物 / 仕事帰り ジム バッグ / パーソナルジム 手ぶら / 仕事帰り ジム ご飯 / 仕事帰り ジム シャワー / 仕事帰り ジム 何時から,20〜30代 社会人（男女）,情報収集→比較検討,近い,中,ハウツー＋おすすめ,実用性が高くCV導線を自然に設置できる。手ぶらOK・駅近を訴求
S,2,産後ダイエットにパーソナルジムが最適な理由,産後ダイエット パーソナルジム,産後 パーソナルジム 子連れ / 産後ダイエット パーソナルジム おすすめ / 産後ダイエット ジム いつから / 産後 託児所付き ジム / 産後ダイエット 骨盤,産後6ヶ月〜1年のママ,比較検討,近い,中,まとめ＋体験談,子連れOK・託児所の有無が強い訴求ポイント
S,3,結婚式ダイエット いつから始める？逆算スケジュール,結婚式 ダイエット いつから,結婚式 ダイエット 半年前 / 結婚式 ダイエット 3ヶ月前 / 結婚式 ダイエット 1ヶ月前 / 花嫁ダイエット / ブライダルダイエット,挙式を控えた花嫁,情報収集,近い,中〜高,スケジュール型,緊急性が高い。時期別にパーソナルジムを自然に提案できる
S,4,パーソナルジム 効果はいつから？期間別の変化まとめ,パーソナルジム 効果 いつから,パーソナルジム 週1 効果 / パーソナルジム 週2 効果 / パーソナルジム 2ヶ月 効果 / パーソナルジム 3ヶ月 効果 / パーソナルジム 半年 効果 / パーソナルジム 効果 期間,パーソナルジム検討中の全ユーザー,情報収集,中,高,解説＋ビフォーアフター,検索ボリューム大。週1/週2/月何回の派生KWも多くロングテール狙い
S,5,パーソナルジムの費用相場と安く通う方法,パーソナルジム 費用 相場,パーソナルジム 安い おすすめ / パーソナルジム 月額 / パーソナルジム 都度払い / パーソナルジム 通い放題 / パーソナルジム 回数券 / パーソナルジム 月額 3万,コスト重視の社会人,情報収集→比較検討,中,高,比較表＋料金解説,料金系KWは非常に多い。都度払い/通い放題/月額の違いを網羅
A,6,社会人がジム通いを続けるための時間管理術,社会人 ジム 続かない,社会人 ジム 時間 / 社会人 ジム いつ行く / 社会人 ジム スケジュール / ジム 続かない 社会人 / 社会人 運動不足 / 社会人 運動 いつ,20〜40代 社会人（男女）,情報収集,中〜遠,中,ハウツー,悩み共感→解決策としてパーソナルジムを提案するファネル記事
A,7,パーソナルジムは週何回がベスト？頻度別効果を解説,ジム 週何回,パーソナルジム 週1 効果 / パーソナルジム 週2 効果 / パーソナルジム 月何回 効果 / パーソナルジム 月4回 効果 / パーソナルジム 月8回 効果 / パーソナルジム 頻度 おすすめ,ジム検討中・初心者,情報収集,中,中〜高,解説,頻度系KWは46件以上。週1/週2/月4回など全パターンをカバー
A,8,結婚式ダイエットで二の腕・背中を引き締める筋トレ,結婚式 ダイエット 二の腕,結婚式 ダイエット 背中 / 結婚式 ダイエット ウエスト / 結婚式 ダイエット デコルテ / 結婚式 ダイエット 筋トレ / 結婚式前 ボディメイク,挙式を控えた花嫁,情報収集,中,中,ハウツー＋部位別,ドレスから見える部位にフォーカス。パーソナルジムの部位別指導を訴求
A,9,産後ダイエットはいつから始めるべき？時期別ガイド,産後ダイエット いつから,産後ダイエット いつから 帝王切開 / 産後ダイエット いつまで / 産後ダイエット 6ヶ月 / 産後ダイエット いつまでが勝負 / 産後ダイエット いつから痩せる,出産直後〜産後1年のママ,情報収集,中〜遠,中〜高,タイムライン型,検索ボリューム大。時期ごとに最適な運動と注意点を解説→ジム誘導
A,10,パーソナルジム 女性におすすめの選び方ポイント,パーソナルジム 女性,パーソナルジム おすすめ 女性 / パーソナルジム 女性専用 / 女性専用 パーソナルジム おすすめ / パーソナルジム 女性トレーナー おすすめ / パーソナルジム 効果 女性,20〜40代 女性,比較検討,近い,高,まとめ＋チェックリスト,女性KWは298件で最大カテゴリ。女性専用/女性トレーナーなど切り口多数
B,11,パーソナルジムは意味ない？もったいない？本音で検証,パーソナルジム 意味ない,パーソナルジム もったいない / パーソナルジム 効果ない / パーソナルジム メリット / パーソナルジム リバウンド / パーソナルジム やめた後,検討中だが迷っているユーザー,情報収集（不安解消）,中,中,反論型コンテンツ,ネガティブKWだが不安解消記事としてCV率が高い。知恵袋等の悩みを引用
B,12,社会人の筋トレ習慣化ガイド｜忙しくても続く方法,社会人 筋トレ,社会人 筋トレ 時間帯 / 社会人 筋トレ スケジュール / 社会人 筋トレ 週何回 / 社会人 筋トレ 朝 / 社会人 筋トレ メニュー / 社会人 筋トレ いつ,20〜30代 男性社会人中心,情報収集,遠,中,ハウツー,筋トレ系39件。パーソナルジムの効率性を対比として訴求
B,13,パーソナルジムの体験トレーニング 行く前に知りたいこと,パーソナルジム 体験,パーソナルジム 体験 はしご / パーソナルジム 体験 無料 / パーソナルジム 体験 服装 / パーソナルジム 体験 流れ / パーソナルジム 体験だけ,検討中でまず体験したいユーザー,比較検討→行動,近い,中,ガイド,体験系58件。「体験だけOK」「はしご」等の不安に答えCV直結
B,14,結婚式ダイエット 5キロ痩せる現実的プラン,結婚式 ダイエット 5キロ,結婚式 ダイエット 10キロ / 結婚式 ダイエット 3キロ / 結婚式 ダイエット 何キロ痩せた / 結婚式 ダイエット 成功例,挙式を控えた花嫁,情報収集,中,中,成功事例型,具体的な数字で検索する高意図ユーザー。成功例を入れて信頼性UP
B,15,産後のお腹のたるみ・体型戻しガイド,産後ダイエット お腹,産後ダイエット お腹のたるみ / 産後ダイエット お腹引き締め / 産後太り 解消 / 産後 体型戻し / 産後ダイエット 骨盤,産後ママ,情報収集,中〜遠,中,ハウツー＋部位別,お腹・骨盤周りは産後ママ最大の悩み。パーソナルトレーニングの専門性を訴求
