ランク,テーマ,メインKW,推定月間検索Vol,推定CPC,競合強度,上位サイト傾向,勝ち筋,コンテンツ戦略,備考
S,パーソナルジム 仕事帰りの通い方完全ガイド,パーソナルジム 仕事帰り,100〜500（ロングテール）,500〜1000円,低〜中,個人ブログ・ジム公式が混在。大手メディア少なめ。服装・荷物・時間帯のハウツー記事が中心,手ぶらOK・駅近・シャワー完備など実用情報を網羅。仕事帰り特化は競合少ないため上位狙いやすい,ハウツー＋おすすめ形式。服装/荷物/食事/シャワーの実用Q&Aを充実させCV導線を自然に設置,CPC500〜1000円。パーソナルジム関連CPC相場は100〜1500円
S,産後ダイエットにパーソナルジムが最適な理由,産後ダイエット パーソナルジム,1000〜2400,200〜500円,中〜高,RIZAP・BEYOND等大手ジム公式・比較ランキング系アフィサイト・女性向けメディア。3000〜8000字,託児所付き・子連れOKの実体験レポート。地域特化で大手と差別化,まとめ＋体験談形式。託児所有無・子連れ条件の比較表を入れて実用性で差別化,サブKW「産後 託児所付き ジム」は推定200〜500/月でニッチ狙い目
S,結婚式ダイエット いつから始める？逆算スケジュール,結婚式 ダイエット いつから,2000〜5000,300〜600円,高（大手独占）,ゼクシィ・みんなのウェディング・トキハナ等大手ウェディングメディアが上位独占。管理栄養士監修記事が多い。E-E-A-T重視,時期別スケジュール×パーソナルジム特化で差別化。97%が結婚式前ダイエット実施（PR TIMES調査）のデータ活用,逆算スケジュール型。半年前/3ヶ月前/1ヶ月前の段階別プラン。最終フィッティング1ヶ月前にゴール設定,大手強いがパーソナルジム切り口の記事は少ない。ニッチ参入余地あり
S,パーソナルジム 効果はいつから？期間別の変化まとめ,パーソナルジム 効果 いつから,1000〜3000,300〜800円,中〜高,RIZAP・EAGLE BASE・チキンジム等ジム公式が上位。2〜3ヶ月で効果実感が共通見解。期間別解説型が主流,週1/週2/月4回など頻度別×期間別のマトリックスで網羅性を出す。ビフォーアフター写真で説得力,解説＋ビフォーアフター形式。初期変化(2〜4週)→体型変化(1〜3ヶ月)→習慣化(3〜6ヶ月)の3段階で解説,派生KW多い（週1効果/2ヶ月効果/半年効果）。ロングテール大量取得可能
S,パーソナルジムの費用相場と安く通う方法,パーソナルジム 費用 相場,3000〜8000,500〜1500円,高（大手独占）,マイベスト・大手比較サイト・ジム公式が上位。料金比較表＋地域別が主流。CPC高騰キーワード,都度払い/通い放題/月額/回数券の料金体系別比較。月額3万以下の予算別切り口で差別化,比較表＋料金解説形式。料金体系の違いをわかりやすく図解。安く通う5つの方法を具体的に提示,CPA約4万円（2店舗運営事例）。広告費月30万で申込17件の実績データあり
A,社会人がジム通いを続けるための時間管理術,社会人 ジム 続かない,500〜1500,100〜300円,中,個人ブログ・ジム公式が混在。悩み共感型の記事が多い。大手メディア少なめ,悩み共感→解決策としてパーソナルジムを提案するファネル記事。予約制・マンツーマンだから続く訴求,ハウツー形式。朝活/昼休み/仕事帰りの時間帯別活用法。続かない原因TOP5→対策の構成,CPCが低くて競合も弱い。コスパ最高のファネル入口記事
A,パーソナルジムは週何回がベスト？頻度別効果を解説,ジム 週何回,2000〜5000,200〜500円,中〜高,ゴリラクリニック・チキンジム等ジム公式メディアが上位。週2が最多推奨。頻度×目的別の解説型が主流,週1/週2/月4回/月8回の全パターンを網羅。ダイエット/筋肥大/維持の目的別マトリックス,解説形式。頻度別効果比較表を作成。忙しい人は週1でもOKの切り口でパーソナルジムを自然に訴求,頻度系KW46件以上。派生KWを大量に取り込めるハブ記事
A,結婚式ダイエットで二の腕・背中を引き締める筋トレ,結婚式 ダイエット 二の腕,500〜1500,200〜400円,中,マイナビウェディング・美4サロン・ゼクシィ等。75%の花嫁が二の腕を気にする。背中→二の腕の順番が重要,部位別筋トレ×パーソナルジムのプロ指導を訴求。自宅トレvsジムトレの比較で説得力,ハウツー＋部位別形式。背中→二の腕→ウエストの優先順位で解説。ドレスタイプ別に気になる部位をマッピング,ブライダルエステとの比較記事も有効。75%が二の腕を気にするデータを活用
A,産後ダイエットはいつから始めるべき？時期別ガイド,産後ダイエット いつから,3000〜8000,100〜300円,中〜高,産後ケアホテル・パーソナルジム公式・ママ向けメディアが上位。帝王切開は産後2〜3ヶ月目安。産後6ヶ月がボディリターン期,帝王切開/自然分娩の分岐を明確に。産後6ヶ月=ボディリターン期のデータで緊急性を訴求→ジム誘導,タイムライン型。産後1ヶ月/2〜3ヶ月/6ヶ月/1年の段階別ガイド。各段階でできる運動と注意点を解説,帝王切開後75%が痛み2〜3ヶ月続くデータあり。医師監修を入れるとE-E-A-T向上
A,パーソナルジム 女性におすすめの選び方ポイント,パーソナルジム 女性,5000〜15000,500〜1500円,高（大手独占）,マイベスト（39サービス比較）・パーソナルジム比較ナビ（1626件）等大手独占。ランキング形式が主流,大手ランキングと真っ向勝負は避ける。目的別（産後/結婚式前）×条件別（女性専用/女性トレーナー）で特化記事を作成,まとめ＋チェックリスト形式。選び方5つのポイント→目的別おすすめ3選の構成。女性専用ジムの相場1回1万円の情報も掲載,女性KW298件で最大カテゴリ。ボリューム大だが競合も最強。特化型で攻める
